Date,Stock Price,Stock Open,Stock High,Stock Low,Stock Volume,Change %,M1 SUPPLY,Iinflation rates for All Items (12 Months Avg. Change),Inflation rates for All Items (Year on Change),real exchange rate open,real exchange rate close,Productivity_Model,Productivity,Currency_Devaluation,Currency_Devaluation
2024-02-05,98762.78,98599.96,98762.78,98583.11,665180000,0.55,33382632.88,29.06,33.95,0.000719,0.000717,1003483951,1597703130,-2.00E-06,-2.00E-06
2024-02-04,104518.14,104498.34,104791.48,104498.34,545310000,-0.04,33818990.81,28.1,33.69,0.000718,0.000765,984086380.5,1676215605,4.70E-05,4.70E-05
2024-01-03,98751.98,99980.3,100798.7,98708.14,367390000,-1.23,32489908.18,27.13,33.2,0.000618,0.000633,913927408.2,1937805638,1.50E-05,1.50E-05
2024-02-02,104421.23,102958.87,104590.52,102958.87,943330000,1.57,30277249.26,26.18,31.7,0.000837,0.000837,822935634.9,1381724047,0,0
2024-02-01,75990.88,74773.98,76031.75,74748.01,515810000,1.63,31555882.24,25.35,29.9,0.001115,0.001112,831499991.5,1116419711,-3.00E-06,-3.00E-06
2023-01-12,71419.87,71365.27,71456.61,71356.11,361120000,0.08,30122288.89,24.66,28.92,0.001265,0.001267,772936387,965615818.3,2.00E-06,2.00E-06
2023-01-11,70581.76,69243.91,70581.76,69222.13,601730000,1.94,26279684.73,24.01,28.2,0.001271,0.001268,657256886.9,861157206.3,-3.00E-06,-3.00E-06
2023-03-10,66770.97,66382.14,66966.66,66382.14,364320000,0.59,26426950.56,23.44,27.33,0.001298,0.001304,645870796.5,868589854.7,6.00E-06,6.00E-06
2023-01-09,67527.19,66548.99,67527.19,66120.9,503750000,1.47,25320016.94,22.9,26.72,0.001293,0.001321,605131461.2,855125750.7,2.80E-05,2.80E-05
2023-01-08,64192.2,64337.3,64340.24,64003.17,762100000,-0.23,24438603.19,22.38,25.8,0.001315,0.001318,571372828.5,830406126.8,3.00E-06,3.00E-06
2023-03-07,61948.99,60991.12,61962.7,60991.12,1210000000,1.61,24368017.71,21.92,24.08,0.001315,0.001298,558524460.8,845383756.7,-1.70E-05,-1.70E-05
2023-01-06,55808.25,55769.91,55832.68,55713.6,390220000,0.07,24494926.03,21.54,22.79,0.002169,0.002168,552116184.8,524289163.4,-1.00E-06,-1.00E-06
2023-02-05,52299.24,52406.88,52426.46,52088.98,418400000,-0.2,22485401.49,21.2,22.41,0.002172,0.002172,499175913.1,488320509.1,0,0
2023-03-04,54190.28,54232.34,54236.59,54186.51,292560000,-1.22,22542268.96,20.82,22.22,0.002172,0.002172,491872308.7,498490723.8,0,0
2023-01-03,55508.61,55806.26,55985.47,55385.9,232580000,-0.53,21399593.91,20.37,22.04,0.002172,0.002172,457309321.9,483676160.2,0,0
2023-01-02,53499.68,53238.67,53499.68,53234.31,200370000,0.49,20958760.95,19.87,21.91,0.002171,0.002171,437409341,485856384.1,0,0
2023-03-01,51595.66,51251.06,51595.66,51241.36,129170000,0.67,20911067.86,19.36,21.82,0.002232,0.002232,425749341.6,483923450.5,0,0
2022-01-12,47656.64,47660.04,47769.38,47537.87,172890000,-0.01,20727946.42,18.85,21.34,0.002253,0.002253,411449736.4,488071817.5,0,0
2022-01-11,43745.73,43835.94,43968.82,43657.95,172870000,-0.21,21453900.68,18.37,21.47,0.002281,0.00228,415562471.7,512002196.6,-1.00E-06,-1.00E-06
2022-04-10,48879.74,49035.07,49038.76,48865.47,173460000,-0.29,21342768.46,17.86,21.09,0.002313,0.002313,402524613.2,516646706.9,0,0
2022-01-09,49889.88,49836.51,49934.2,49836.51,229120000,0.11,21197371.65,17.43,20.77,0.00237,0.002364,390669903.5,513140486,-6.00E-06,-6.00E-06
2022-01-08,49950.32,50370.25,50372.43,49886.94,176050000,-0.83,21436316.14,17.07,20.52,0.002405,0.002403,387355007.4,522157537.4,-2.00E-06,-2.00E-06
2022-01-07,51829.67,51817.59,51829.67,51769.02,127030000,0.02,20386382.93,16.75,19.64,0.002408,0.002408,361858297,505439156.3,0,0
2022-01-06,52974.15,52990.28,53045.12,52952.24,295340000,-1.24,20348209.51,16.54,18.6,0.002408,0.002409,356907237.9,510898012,1.00E-06,1.00E-06
2022-04-05,50126.41,49640.3,50132.88,49636.44,669270000,0.98,20561700.36,16.45,17.71,0.002408,0.002409,358801312.5,519082803,1.00E-06,1.00E-06
2022-01-04,46842.86,46963.75,46973.78,46780.08,257290000,-0.26,19821327.97,16.45,16.82,0.002405,0.002405,345882173.1,501016195.2,0,0
2022-01-03,47482.73,47394.53,47613.7,47358.48,370440000,0.19,19610356.83,16.54,15.92,0.002404,0.002403,343966002.8,493191437,-1.00E-06,-1.00E-06
2022-01-02,47111.21,46630.13,47126.27,46626.42,341500000,1.04,18897327.74,16.73,15.7,0.002405,0.002411,335047610.5,469666272.1,6.00E-06,6.00E-06
2022-04-01,43026.23,42716.44,43052.31,42651.87,216650000,0.73,18589692.22,16.87,15.6,0.002427,0.002423,332199128.8,454032917.6,-4.00E-06,-4.00E-06
2021-01-12,42463.16,43248.05,43248.3,42463.16,335470000,-1.81,18055860.83,16.95,15.63,0.00244,0.00244,324102701.9,436574806.1,0,0
